,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,album,artist,track.popularity,track.album.release_date,playlist_name
131,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,audio_features,09IStsImFySgyp0pIQdqAc,spotify:track:09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,184732,4,The Middle,The Middle,"Zedd , Maren Morris , Grey",82,2018-01-23,Top Tracks of 2018
132,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,audio_features,7uzmGiiJyRfuViKKK3lVmR,spotify:track:7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/tracks/7uzmGiiJyRfuViKKK3lVmR,https://api.spotify.com/v1/audio-analysis/7uzmGiiJyRfuViKKK3lVmR,131064,4,Mine,COSMIC,Bazzi,79,2018-04-12,Top Tracks of 2018
133,0.755,0.599,8,-5.042,1,0.224,0.147,0.0,0.109,0.755,133.123,audio_features,10Igtw8bSDyyFs7KIsKngZ,spotify:track:10Igtw8bSDyyFs7KIsKngZ,https://api.spotify.com/v1/tracks/10Igtw8bSDyyFs7KIsKngZ,https://api.spotify.com/v1/audio-analysis/10Igtw8bSDyyFs7KIsKngZ,216631,4,Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),"Lil Dicky , Chris Brown",75,2018-03-15,Top Tracks of 2018
134,0.724,0.751,8,-4.144,0,0.0703,0.284,1.03e-06,0.0964,0.916,170.004,audio_features,4yF9erb9bMUIRXr6QdPgP4,spotify:track:4yF9erb9bMUIRXr6QdPgP4,https://api.spotify.com/v1/tracks/4yF9erb9bMUIRXr6QdPgP4,https://api.spotify.com/v1/audio-analysis/4yF9erb9bMUIRXr6QdPgP4,197176,4,Su Casa,Su Casa,"KESI , Gilli",53,2018-08-10,Top Tracks of 2018
135,0.587,0.299,8,-7.365,1,0.0263,0.779,0.0,0.123,0.356,94.992,audio_features,1bhUWB0zJMIKr9yVPrkEuI,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,https://api.spotify.com/v1/tracks/1bhUWB0zJMIKr9yVPrkEuI,https://api.spotify.com/v1/audio-analysis/1bhUWB0zJMIKr9yVPrkEuI,259550,3,Perfect Duet (Ed Sheeran & Beyoncé),Perfect Duet (Ed Sheeran & Beyoncé),"Ed Sheeran , Beyoncé",75,2017-11-30,Top Tracks of 2018
136,0.583,0.624,2,-5.478,0,0.0482,0.309,0.000335,0.0569,0.784,95.38,audio_features,0QzldbZnd9gLpor4S2EzJc,spotify:track:0QzldbZnd9gLpor4S2EzJc,https://api.spotify.com/v1/tracks/0QzldbZnd9gLpor4S2EzJc,https://api.spotify.com/v1/audio-analysis/0QzldbZnd9gLpor4S2EzJc,158595,3,Rum Bum Bum,Rum Bum Bum,NAVID,52,2018-06-15,Top Tracks of 2018
137,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,audio_features,5BG3hnp2SmFmoBIs3YTqsm,spotify:track:5BG3hnp2SmFmoBIs3YTqsm,https://api.spotify.com/v1/tracks/5BG3hnp2SmFmoBIs3YTqsm,https://api.spotify.com/v1/audio-analysis/5BG3hnp2SmFmoBIs3YTqsm,217946,4,IDGAF,IDGAF,Dua Lipa,56,2018-01-12,Top Tracks of 2018
138,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217306,4,Havana (feat. Young Thug),Camila,"Camila Cabello , Young Thug",82,2018-01-12,Top Tracks of 2018
139,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934,audio_features,7AFASza1mXqntmGtbxXprO,spotify:track:7AFASza1mXqntmGtbxXprO,https://api.spotify.com/v1/tracks/7AFASza1mXqntmGtbxXprO,https://api.spotify.com/v1/audio-analysis/7AFASza1mXqntmGtbxXprO,121886,4,changes,?,XXXTENTACION,83,2018-03-16,Top Tracks of 2018
140,0.6,0.688,5,-8.339,0,0.201,0.159,1.29e-05,0.409,0.0793,99.977,audio_features,63SevszngYpZOwf63o61K4,spotify:track:63SevszngYpZOwf63o61K4,https://api.spotify.com/v1/tracks/63SevszngYpZOwf63o61K4,https://api.spotify.com/v1/audio-analysis/63SevszngYpZOwf63o61K4,156600,4,Nevermind,Nevermind,Dennis Lloyd,78,2017-06-30,Top Tracks of 2018
141,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,audio_features,3GCdLUSnKSMJhs4Tj6CV3s,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/audio-analysis/3GCdLUSnKSMJhs4Tj6CV3s,232186,4,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,"Kendrick Lamar , SZA",78,2018-02-09,Top Tracks of 2018
142,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4,Be Alright,Be Alright,Dean Lewis,82,2018-06-29,Top Tracks of 2018
143,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,audio_features,7m9OqQk4RVRkw9JJdeAw96,spotify:track:7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,119133,4,Jocelyn Flores,17,XXXTENTACION,85,2017-08-25,Top Tracks of 2018
144,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,6FRLCMO5TUHTexlWo8ym1W,spotify:track:6FRLCMO5TUHTexlWo8ym1W,https://api.spotify.com/v1/tracks/6FRLCMO5TUHTexlWo8ym1W,https://api.spotify.com/v1/audio-analysis/6FRLCMO5TUHTexlWo8ym1W,235545,4,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),"Maroon 5 , Cardi B",79,2018-05-30,Top Tracks of 2018
145,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,audio_features,2qT1uLXPVPzGgFOx4jtEuo,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,https://api.spotify.com/v1/tracks/2qT1uLXPVPzGgFOx4jtEuo,https://api.spotify.com/v1/audio-analysis/2qT1uLXPVPzGgFOx4jtEuo,205920,4,no tears left to cry,Sweetener,Ariana Grande,81,2018-08-17,Top Tracks of 2018
146,0.722,0.628,4,-6.895,0,0.0879,0.0168,0.0,0.136,0.303,103.007,audio_features,69T50mZU6jlxdrrZrrxRNW,spotify:track:69T50mZU6jlxdrrZrrxRNW,https://api.spotify.com/v1/tracks/69T50mZU6jlxdrrZrrxRNW,https://api.spotify.com/v1/audio-analysis/69T50mZU6jlxdrrZrrxRNW,208543,4,Tranquillo (feat. Branco),Tranquillo (feat. Branco),"Gilli , Branco",44,2018-02-16,Top Tracks of 2018
147,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,audio_features,0JP9xo3adEtGSdUEISiszL,spotify:track:0JP9xo3adEtGSdUEISiszL,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,135090,4,Moonlight,?,XXXTENTACION,84,2018-03-16,Top Tracks of 2018
148,0.707,0.632,10,-7.031,1,0.0789,0.103,1.09e-05,0.0841,0.372,97.04,audio_features,1LhMopPAallLeaeNutqbgS,spotify:track:1LhMopPAallLeaeNutqbgS,https://api.spotify.com/v1/tracks/1LhMopPAallLeaeNutqbgS,https://api.spotify.com/v1/audio-analysis/1LhMopPAallLeaeNutqbgS,278893,4,Say Something,Man of the Woods,"Justin Timberlake , Chris Stapleton",71,2018-02-02,Top Tracks of 2018
149,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,audio_features,58q2HKrzhC3ozto2nDdN4z,spotify:track:58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,253390,4,I Like It,Invasion of Privacy,"Cardi B , Bad Bunny , J Balvin",82,2018-04-06,Top Tracks of 2018
150,0.548,0.687,11,-6.371,0,0.15,0.106,0.0,0.131,0.362,180.017,audio_features,22nebdx3j16qQKRrm0mVe7,spotify:track:22nebdx3j16qQKRrm0mVe7,https://api.spotify.com/v1/tracks/22nebdx3j16qQKRrm0mVe7,https://api.spotify.com/v1/audio-analysis/22nebdx3j16qQKRrm0mVe7,193946,4,Sick Boy,Sick Boy...Beach House,The Chainsmokers,0,2018-11-16,Top Tracks of 2018
151,0.672,0.735,5,-4.733,1,0.0457,0.286,0.0,0.242,0.754,115.741,audio_features,4ofwffwvvnbSkrMSCKQDaC,spotify:track:4ofwffwvvnbSkrMSCKQDaC,https://api.spotify.com/v1/tracks/4ofwffwvvnbSkrMSCKQDaC,https://api.spotify.com/v1/audio-analysis/4ofwffwvvnbSkrMSCKQDaC,201287,4,Shotgun,Staying at Tamara's,George Ezra,80,2018-03-23,Top Tracks of 2018
152,0.693,0.624,0,-7.482,0,0.0448,0.299,7.64e-06,0.0955,0.369,105.002,audio_features,0Ult84lvFuqNvbyXwyRQ58,spotify:track:0Ult84lvFuqNvbyXwyRQ58,https://api.spotify.com/v1/tracks/0Ult84lvFuqNvbyXwyRQ58,https://api.spotify.com/v1/audio-analysis/0Ult84lvFuqNvbyXwyRQ58,205986,4,I Miss You (feat. Julia Michaels),What Is Love? (Deluxe Edition),"Clean Bandit , Julia Michaels",74,2018-11-30,Top Tracks of 2018
153,0.719,0.753,5,-3.941,0,0.24,0.126,0.0,0.0768,0.408,109.826,audio_features,1aeQAevfv8kyI3aiPlXjyl,spotify:track:1aeQAevfv8kyI3aiPlXjyl,https://api.spotify.com/v1/tracks/1aeQAevfv8kyI3aiPlXjyl,https://api.spotify.com/v1/audio-analysis/1aeQAevfv8kyI3aiPlXjyl,172673,4,For Mig Selv (feat. Gilli),Cambiarme,"NODE , Gilli",41,2018-03-02,Top Tracks of 2018
154,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,audio_features,5N5k9nd479b1xpDZ4usjrg,spotify:track:5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,213309,4,Promises (with Sam Smith),Promises (with Sam Smith),"Calvin Harris , Sam Smith , Jessie Reyez",82,2018-08-17,Top Tracks of 2018
155,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,audio_features,7iDa6hUg2VgEL1o1HjmfBn,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,163870,4,Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,"Bebe Rexha , Florida Georgia Line",79,2017-08-11,Top Tracks of 2018
156,0.471,0.625,1,-5.695,1,0.247,0.246,0.0,0.1,0.319,150.051,audio_features,5jWdZO2cAWXtk2lysIE5Pu,spotify:track:5jWdZO2cAWXtk2lysIE5Pu,https://api.spotify.com/v1/tracks/5jWdZO2cAWXtk2lysIE5Pu,https://api.spotify.com/v1/audio-analysis/5jWdZO2cAWXtk2lysIE5Pu,216713,4,Tilfældigt,Tilfældigt,"Basim , Benny Jamz",39,2018-01-12,Top Tracks of 2018
157,0.635,0.594,7,-5.289,0,0.0498,0.114,0.0,0.0652,0.238,159.924,audio_features,3PzNjV3A8cRiQBUuFmtkQ7,spotify:track:3PzNjV3A8cRiQBUuFmtkQ7,https://api.spotify.com/v1/tracks/3PzNjV3A8cRiQBUuFmtkQ7,https://api.spotify.com/v1/audio-analysis/3PzNjV3A8cRiQBUuFmtkQ7,179198,4,Number,Number,Alexander Oscar,49,2018-02-23,Top Tracks of 2018
158,0.622,0.712,5,-7.321,1,0.066,0.0573,0.0,0.13,0.487,140.025,audio_features,2QZ7WLBE8h2y1Y5Fb8RYbH,spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH,https://api.spotify.com/v1/tracks/2QZ7WLBE8h2y1Y5Fb8RYbH,https://api.spotify.com/v1/audio-analysis/2QZ7WLBE8h2y1Y5Fb8RYbH,211360,4,In My Blood,Shawn Mendes,Shawn Mendes,80,2018-05-25,Top Tracks of 2018
159,0.85,0.569,5,-8.152,0,0.136,0.0609,0.0816,0.1,0.294,80.02,audio_features,7ycWLEP1GsNjVvcjawXz3z,spotify:track:7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/audio-analysis/7ycWLEP1GsNjVvcjawXz3z,205040,4,Praise The Lord (Da Shine) (feat. Skepta),TESTING,"A$AP Rocky , Skepta",80,2018-05-25,Top Tracks of 2018
160,0.687,0.785,1,-4.65,1,0.0333,0.327,0.0,0.203,0.655,106.046,audio_features,3KLygy1YWhmrQx0GRs7IOx,spotify:track:3KLygy1YWhmrQx0GRs7IOx,https://api.spotify.com/v1/tracks/3KLygy1YWhmrQx0GRs7IOx,https://api.spotify.com/v1/audio-analysis/3KLygy1YWhmrQx0GRs7IOx,194407,4,Rise,Blue,"Jonas Blue , Jack & Jack",11,2018-11-09,Top Tracks of 2018
161,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,audio_features,4Pbg79cTBu4vgSphoyNq3j,spotify:track:4Pbg79cTBu4vgSphoyNq3j,https://api.spotify.com/v1/tracks/4Pbg79cTBu4vgSphoyNq3j,https://api.spotify.com/v1/audio-analysis/4Pbg79cTBu4vgSphoyNq3j,186986,4,2002,2002,Anne-Marie,74,2018-04-19,Top Tracks of 2018
162,0.623,0.897,2,-4.946,1,0.107,0.0109,0.0,0.045,0.574,133.909,audio_features,5gJ8xepOK2zsUfaRLX1ANX,spotify:track:5gJ8xepOK2zsUfaRLX1ANX,https://api.spotify.com/v1/tracks/5gJ8xepOK2zsUfaRLX1ANX,https://api.spotify.com/v1/audio-analysis/5gJ8xepOK2zsUfaRLX1ANX,185504,4,Velsignet - Har Det Godt pt. 2,Under Al Kritik,Ude Af Kontrol,49,2018-10-12,Top Tracks of 2018
163,0.635,0.9,0,-3.719,0,0.0377,0.00664,0.0145,0.37,0.15,127.978,audio_features,6RnkFd8Fqqgk1Uni8RgqCQ,spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ,https://api.spotify.com/v1/tracks/6RnkFd8Fqqgk1Uni8RgqCQ,https://api.spotify.com/v1/audio-analysis/6RnkFd8Fqqgk1Uni8RgqCQ,202500,4,Like I Do,Like I Do,"David Guetta , Martin Garrix , Brooks",70,2018-02-22,Top Tracks of 2018
164,0.552,0.76,0,-4.706,1,0.342,0.0733,0.0,0.0865,0.639,135.702,audio_features,5WvAo7DNuPRmk4APhdPzi8,spotify:track:5WvAo7DNuPRmk4APhdPzi8,https://api.spotify.com/v1/tracks/5WvAo7DNuPRmk4APhdPzi8,https://api.spotify.com/v1/audio-analysis/5WvAo7DNuPRmk4APhdPzi8,260000,5,No Brainer,No Brainer,"DJ Khaled , Justin Bieber , Quavo , Chance the Rapper",75,2018-07-27,Top Tracks of 2018
